epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1100.23,1.42473,1.1295,1.08974,0.93729,0.99202,0.97046,0.67756,1.07354,1.81169,0.96463,0.000666053,0.000666053,0.000666053
2,2361.9,1.06616,0.6317,0.95473,0.94007,0.9964,0.97997,0.75014,0.84685,1.09957,0.88059,0.00124476,0.00124476,0.00124476
3,3662.39,0.94877,0.55821,0.91997,0.94857,0.99537,0.98486,0.7882,0.75216,1.03917,0.85675,0.00173547,0.00173547,0.00173547
4,4975.83,0.87739,0.51092,0.90011,0.95256,0.99737,0.9875,0.81572,0.65624,1.19846,0.81772,0.001604,0.001604,0.001604
5,6264.36,0.81946,0.48252,0.88481,0.95508,0.99301,0.98883,0.82221,0.64469,0.94957,0.81609,0.001472,0.001472,0.001472
6,7385.96,0.74342,0.45953,0.8722,0.96406,0.9909,0.99085,0.8355,0.6004,0.78752,0.80569,0.00134,0.00134,0.00134
7,8467.83,0.68002,0.41786,0.8561,0.97441,0.988,0.99295,0.86648,0.52386,0.86295,0.78513,0.001208,0.001208,0.001208
8,9579.5,0.62439,0.38317,0.84229,0.98196,0.98783,0.99295,0.87747,0.49921,0.80698,0.78037,0.001076,0.001076,0.001076
9,10695.9,0.59251,0.37857,0.83296,0.98506,0.98782,0.99357,0.88113,0.47685,0.67308,0.77655,0.000944,0.000944,0.000944
10,11819.7,0.56254,0.34724,0.82727,0.98761,0.98937,0.99382,0.89408,0.44676,0.7078,0.77002,0.000812,0.000812,0.000812
11,12936.8,0.53734,0.32739,0.82129,0.99212,0.99663,0.99422,0.90312,0.42915,0.64518,0.76415,0.00068,0.00068,0.00068
12,13990.6,0.50713,0.30674,0.81544,0.9939,0.99679,0.9939,0.90918,0.40934,0.64171,0.75942,0.000548,0.000548,0.000548
13,15090.3,0.48238,0.29551,0.811,0.99493,0.99776,0.99422,0.92191,0.3744,0.66472,0.75241,0.000416,0.000416,0.000416
14,16193.5,0.45702,0.27932,0.80619,0.9961,0.99776,0.99417,0.9312,0.35695,0.64975,0.74928,0.000284,0.000284,0.000284
15,17307.1,0.43662,0.26869,0.8016,0.99762,0.99781,0.99418,0.93513,0.34386,0.65511,0.74713,0.000152,0.000152,0.000152
