epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.692,1.4123,1.16974,1.09628,0.98079,0.98692,0.99293,0.70324,1.06547,0.63137,0.9564,0.000475896,0.000475896,0.000475896
2,452.703,0.96757,0.6046,0.92215,0.99534,0.99512,0.99374,0.77561,0.84891,0.45066,0.88862,0.000905094,0.000905094,0.000905094
3,678.341,0.85151,0.52317,0.88971,0.9957,0.99694,0.99399,0.81256,0.71772,0.39721,0.84889,0.00128713,0.00128713,0.00128713
4,902.551,0.77872,0.47924,0.87231,0.99692,0.99668,0.994,0.83295,0.66348,0.36966,0.83385,0.00121679,0.00121679,0.00121679
5,1127.17,0.72544,0.44987,0.85952,0.99632,0.99654,0.99404,0.84517,0.64529,0.34983,0.83567,0.00114606,0.00114606,0.00114606
6,1352.12,0.68448,0.42635,0.85102,0.99719,0.99675,0.99385,0.86079,0.60126,0.33313,0.82411,0.00107532,0.00107532,0.00107532
7,1579.6,0.65546,0.41077,0.84513,0.99731,0.9973,0.99416,0.87713,0.54599,0.311,0.80986,0.00100459,0.00100459,0.00100459
8,1807.64,0.62417,0.39037,0.83982,0.99757,0.99728,0.99385,0.87544,0.55651,0.30166,0.81199,0.000933851,0.000933851,0.000933851
9,2033.67,0.60238,0.38168,0.83484,0.99744,0.99722,0.99392,0.88027,0.55675,0.29908,0.81964,0.000863116,0.000863116,0.000863116
10,2259.68,0.58059,0.36851,0.83131,0.9976,0.99732,0.99395,0.88504,0.56101,0.29872,0.82825,0.00079238,0.00079238,0.00079238
11,2474.41,0.51244,0.33301,0.81716,0.99717,0.99745,0.99409,0.89164,0.51995,0.28084,0.81027,0.000721645,0.000721645,0.000721645
12,2688.95,0.48375,0.30498,0.81134,0.99764,0.99696,0.99405,0.89772,0.49809,0.26972,0.80584,0.000650909,0.000650909,0.000650909
13,2901.31,0.45528,0.28941,0.80526,0.99768,0.99779,0.99398,0.9087,0.46965,0.25824,0.79616,0.000580174,0.000580174,0.000580174
14,3115.9,0.43687,0.2728,0.80217,0.99762,0.99765,0.99401,0.91035,0.46563,0.25127,0.79646,0.000509438,0.000509438,0.000509438
15,3327.51,0.41936,0.26523,0.79918,0.99747,0.99778,0.99398,0.91592,0.47127,0.2498,0.80409,0.000438703,0.000438703,0.000438703
16,3540.79,0.4018,0.25219,0.7961,0.99757,0.99696,0.99402,0.91723,0.47221,0.24791,0.80356,0.000367967,0.000367967,0.000367967
17,3753.64,0.38427,0.24238,0.7928,0.99785,0.99768,0.99406,0.92133,0.43905,0.23637,0.79239,0.000297232,0.000297232,0.000297232
18,3973.18,0.37153,0.23662,0.79164,0.99792,0.99792,0.99398,0.92501,0.44936,0.23843,0.80061,0.000226497,0.000226497,0.000226497
19,4189.32,0.3567,0.23054,0.7892,0.99801,0.99785,0.99399,0.92383,0.44833,0.23684,0.80193,0.000155761,0.000155761,0.000155761
20,4401.32,0.34322,0.22315,0.78734,0.99776,0.99769,0.99396,0.92848,0.43903,0.23503,0.79837,8.50255e-05,8.50255e-05,8.50255e-05
